7.5 0 -0 
7.11418 2.31154 -0.313333 
6.00409 4.36222 -0.621725 
4.3052 5.9256 -0.920311 
2.22207 6.83883 -1.20438 
4.30007e-16 7.02254 -1.46946 
-2.10824 6.48851 -1.71137 
-3.8756 5.3343 -1.92628 
-5.12882 3.7263 -2.11082 
-5.76763 1.87402 -2.26207 
-5.77254 7.06933e-16 -2.37764 
-5.20081 -1.68984 -2.45572 
-4.17208 -3.03119 -2.49507 
-2.84666 -3.91809 -2.49507 
-1.40032 -4.30976 -2.45572 
-4.53131e-15 -4.22746 -2.37764 
1.21615 -3.74293 -2.26207 
2.15155 -2.96135 -2.11082 
2.75587 -2.00226 -1.92628 
3.02206 -0.981926 -1.71137 
2.97746 -7.29267e-16 -1.46946 
2.67174 0.868101 -1.20438 
2.16457 1.57265 -0.920311 
1.51563 2.08608 -0.621725 
0.778634 2.39639 -0.313333 
7.65404e-16 2.5 -3.06162e-16 
-0.778634 2.39639 0.313333 
-1.51563 2.08608 0.621725 
-2.16457 1.57265 0.920311 
-2.67174 0.868101 1.20438 
-2.97746 6.38293e-15 1.46946 
-3.02206 -0.981926 1.71137 
-2.75587 -2.00226 1.92628 
-2.15155 -2.96135 2.11082 
-1.21615 -3.74293 2.26207 
-1.812e-15 -4.22746 2.37764 
1.40032 -4.30976 2.45572 
2.84666 -3.91809 2.49507 
4.17208 -3.03119 2.49507 
5.20081 -1.68984 2.45572 
5.77254 -2.82773e-15 2.37764 
5.76763 1.87402 2.26207 
5.12882 3.7263 2.11082 
3.8756 5.3343 1.92628 
2.10824 6.48851 1.71137 
3.87006e-15 7.02254 1.46946 
-2.22207 6.83883 1.20438 
-4.3052 5.9256 0.920311 
-6.00409 4.36222 0.621725 
-7.11418 2.31154 0.313333 
-7.5 4.59243e-15 6.12323e-16 
-7.11418 -2.31154 -0.313333 
-6.00409 -4.36222 -0.621725 
-4.3052 -5.9256 -0.920311 
-2.22207 -6.83883 -1.20438 
-1.72046e-14 -7.02254 -1.46946 
2.10824 -6.48851 -1.71137 
3.8756 -5.3343 -1.92628 
5.12882 -3.7263 -2.11082 
5.76763 -1.87402 -2.26207 
5.77254 -2.47498e-14 -2.37764 
5.20081 1.68984 -2.45572 
4.17208 3.03119 -2.49507 
2.84666 3.91809 -2.49507 
1.40032 4.30976 -2.45572 
-4.14433e-15 4.22746 -2.37764 
-1.21615 3.74293 -2.26207 
-2.15155 2.96135 -2.11082 
-2.75587 2.00226 -1.92628 
-3.02206 0.981926 -1.71137 
-2.97746 2.55243e-15 -1.46946 
-2.67174 -0.868101 -1.20438 
-2.16457 -1.57265 -0.920311 
-1.51563 -2.08608 -0.621725 
-0.778634 -2.39639 -0.313333 
-6.7371e-15 -2.5 -9.18485e-16 
0.778634 -2.39639 0.313333 
1.51563 -2.08608 0.621725 
2.16457 -1.57265 0.920311 
2.67174 -0.868101 1.20438 
2.97746 -2.91707e-15 1.46946 
3.02206 0.981926 1.71137 
2.75587 2.00226 1.92628 
2.15155 2.96135 2.11082 
1.21615 3.74293 2.26207 
-3.1089e-15 4.22746 2.37764 
-1.40032 4.30976 2.45572 
-2.84666 3.91809 2.49507 
-4.17208 3.03119 2.49507 
-5.20081 1.68984 2.45572 
-5.77254 6.36239e-15 2.37764 
-5.76763 -1.87402 2.26207 
-5.12882 -3.7263 2.11082 
-3.8756 -5.3343 1.92628 
-2.10824 -6.48851 1.71137 
-2.06447e-14 -7.02254 1.46946 
2.22207 -6.83883 1.20438 
4.3052 -5.9256 0.920311 
6.00409 -4.36222 0.621725 
7.11418 -2.31154 0.313333 
