39,61,0,0,0,0,0,0
45,55,0,0,0,0,0,0
49,51,0,0,0,0,0,0
16,48,36,0,0,0,0,0
20,33,47,0,0,0,0,0
10,31,14,45,0,0,0,0
43,57,0,0,0,0,0,0
49,51,0,0,0,0,0,0
56,44,0,0,0,0,0,0
49,51,0,0,0,0,0,0
35,65,0,0,0,0,0,0
46,54,0,0,0,0,0,0
19,17,64,0,0,0,0,0
52,18,30,0,0,0,0,0
39,15,15,31,0,0,0,0
44,20,36,0,0,0,0,0
50,50,0,0,0,0,0,0
29,24,47,0,0,0,0,0
62,38,0,0,0,0,0,0
49,51,0,0,0,0,0,0
45,17,38,0,0,0,0,0
33,12,20,16,19,0,0,0
41,59,0,0,0,0,0,0
8,36,56,0,0,0,0,0
44,56,0,0,0,0,0,0
52,48,0,0,0,0,0,0
59,41,0,0,0,0,0,0
48,52,0,0,0,0,0,0
39,19,42,0,0,0,0,0
16,48,36,0,0,0,0,0
38,17,45,0,0,0,0,0
38,62,0,0,0,0,0,0
0,0,0,0,0,0,0,0
16,84,0,0,0,0,0,0
33,17,50,0,0,0,0,0
41,8,51,0,0,0,0,0
30,70,0,0,0,0,0,0
49,51,0,0,0,0,0,0
55,45,0,0,0,0,0,0
0,0,0,0,0,0,0,0
35,65,0,0,0,0,0,0
24,76,0,0,0,0,0,0
0,0,0,0,0,0,0,0
48,52,0,0,0,0,0,0
37,63,0,0,0,0,0,0
34,34,32,0,0,0,0,0
42,58,0,0,0,0,0,0
21,79,0,0,0,0,0,0
42,58,0,0,0,0,0,0
58,42,0,0,0,0,0,0
0,0,0,0,0,0,0,0
38,13,49,0,0,0,0,0
35,31,34,0,0,0,0,0
13,37,50,0,0,0,0,0
55,45,0,0,0,0,0,0
41,59,0,0,0,0,0,0
0,0,0,0,0,0,0,0
15,22,63,0,0,0,0,0
57,43,0,0,0,0,0,0
56,17,27,0,0,0,0,0
48,52,0,0,0,0,0,0
21,42,37,0,0,0,0,0
44,56,0,0,0,0,0,0
14,25,61,0,0,0,0,0
35,13,52,0,0,0,0,0
27,48,25,0,0,0,0,0
24,49,27,0,0,0,0,0
29,18,53,0,0,0,0,0
13,15,72,0,0,0,0,0
19,32,49,0,0,0,0,0
53,47,0,0,0,0,0,0
0,0,0,0,0,0,0,0
48,52,0,0,0,0,0,0
